frame,x,y,H,S,V,B,G,R
51,840,456,0,208,146,27,27,146
53,840,457,0,207,144,27,27,144
55,828,455,0,209,145,26,26,145
57,828,444,179,210,142,27,25,142
59,828,437,0,209,145,26,26,145
61,827,429,0,211,144,25,25,144
63,827,416,0,207,144,27,27,144
65,831,408,0,207,138,27,26,138
67,823,407,0,210,137,24,25,137
69,802,411,0,208,141,26,27,141
71,785,412,0,214,137,22,23,137
73,772,414,0,206,136,26,26,136
75,753,427,0,210,137,24,25,137
77,747,432,0,203,143,30,29,143
79,729,438,0,205,142,29,28,142
81,706,440,0,204,140,29,28,140
83,680,438,0,208,140,27,26,140
85,652,444,0,213,134,23,22,134
87,632,452,0,211,133,23,23,133
89,613,459,0,205,137,27,27,137
91,609,465,0,211,133,23,23,133
93,597,474,0,206,130,26,25,130
95,621,491,0,205,139,28,27,139
97,678,504,0,208,140,27,26,140
99,688,502,179,211,144,27,25,144
101,743,482,179,209,145,28,26,145
103,774,461,0,209,145,26,26,145
105,789,443,0,208,146,27,27,146
107,830,424,0,206,145,28,28,145
109,865,414,179,206,147,30,28,147
111,910,424,179,209,145,28,26,145
113,949,448,0,210,148,27,26,148
115,954,451,0,209,151,27,28,151
117,991,435,0,212,147,26,25,147
118,1024,428,0,210,147,26,28,147
120,1033,422,0,213,151,27,25,151
122,1070,409,0,213,151,27,25,151
124,1089,399,0,211,155,29,27,155
126,1117,394,0,201,156,34,33,156
128,1166,392,0,200,157,34,35,157
130,1186,393,0,204,155,31,32,155
132,1231,414,0,204,155,31,32,155
134,1245,417,0,202,154,33,32,154
136,1219,428,0,202,155,33,32,155
138,1195,443,179,213,158,29,26,158
140,1166,442,179,211,163,32,28,163
142,1146,424,179,210,164,33,29,164
144,1131,410,179,207,161,35,30,161
146,1101,390,0,204,160,34,32,160
148,1079,378,0,203,153,32,31,153
150,1062,378,2,206,150,29,37,150
152,1024,392,179,209,160,32,29,160
154,987,401,0,201,162,36,34,162
156,957,412,179,209,161,32,29,161
158,941,419,179,214,156,28,25,156
160,932,442,0,213,151,27,25,151
162,931,452,179,213,157,29,26,157
164,943,456,0,212,154,28,26,154
166,953,438,0,200,157,35,34,157
168,946,425,1,209,150,27,31,150
170,906,429,0,209,149,28,27,149
172,895,460,0,212,148,26,25,148
174,888,481,179,211,149,29,26,149
176,907,490,179,218,144,24,21,144
178,887,461,0,214,144,23,25,144
180,846,476,0,218,144,22,21,144
182,838,510,0,213,147,25,24,147
184,810,532,0,215,146,24,23,146
186,809,535,0,213,147,25,24,147
188,809,535,179,212,143,26,24,143
190,807,526,0,215,141,22,22,141
192,798,518,0,215,141,22,22,141
194,796,503,179,209,143,28,26,143
196,752,516,0,221,142,19,20,142
198,784,541,179,208,146,29,27,146
200,759,524,179,222,141,21,18,141
202,788,605,0,215,141,22,22,141
204,797,578,0,208,141,26,27,141
206,782,631,0,215,141,22,22,141
208,814,594,179,212,141,26,24,141
210,763,588,0,218,143,22,21,143
212,839,591,0,212,147,26,25,147
214,863,555,0,213,146,25,24,146
216,941,566,0,202,150,31,31,150
218,924,526,0,210,153,27,27,153
220,951,504,0,209,151,27,28,151
222,997,484,0,206,147,28,28,147
224,1039,449,1,218,144,21,25,144
226,1061,427,0,205,152,31,30,152
228,1073,406,0,210,153,29,27,153
230,1093,363,0,207,153,29,30,153
232,1094,346,0,198,160,36,37,160
234,1093,334,0,196,164,38,38,164
236,1074,330,29,178,86,26,84,86
238,976,403,0,207,153,29,30,153
240,961,427,0,206,152,29,30,152
242,948,452,0,210,148,27,26,148
244,968,447,0,205,148,29,29,148
246,927,456,0,206,152,29,30,152
248,921,456,0,207,150,29,28,150
250,923,456,0,207,150,29,28,150
252,911,465,0,202,150,31,31,150
254,929,429,0,200,149,32,32,149
256,942,421,1,199,150,33,36,150
258,926,426,0,200,149,32,32,149
260,929,425,0,197,149,34,35,149
262,931,407,0,196,147,34,35,147
264,929,399,0,201,142,31,30,142
266,928,397,1,197,145,33,35,145
268,914,394,1,200,149,32,35,149
270,909,398,0,194,163,39,40,163
272,924,426,0,206,156,30,30,156
274,948,443,1,208,164,30,34,164
276,983,456,1,214,155,25,30,155
278,1046,464,0,202,155,32,33,155
280,1060,464,0,202,159,33,33,159
282,1125,474,0,200,157,34,35,157
284,1149,481,12,195,136,32,72,136
286,1196,500,40,193,124,30,124,93
288,1248,527,41,179,134,40,134,101
290,1362,553,39,189,119,31,119,93
292,1432,563,27,186,115,31,106,115
294,1496,585,0,197,157,36,38,157
296,1503,586,0,194,160,39,38,160
298,1522,596,0,202,155,32,33,155
300,1531,597,0,206,152,29,30,152
302,1511,586,0,201,157,33,34,157
304,1490,581,1,209,165,30,34,165
306,1485,581,26,204,95,19,85,95
308,1512,568,1,212,165,28,34,165
310,1536,561,0,203,158,32,32,158
312,1548,559,0,202,159,33,33,159
314,1546,545,0,206,162,32,31,162
316,1520,519,0,207,163,31,32,163
318,1503,493,0,192,167,41,41,167
320,1431,460,0,197,168,38,40,168
322,1381,452,0,199,169,37,38,169
324,1377,452,0,197,163,37,37,163
326,1326,469,0,199,164,36,36,164
328,1290,468,0,205,159,31,31,159
330,1243,453,0,210,153,27,27,153
332,1228,451,0,207,155,31,29,155
334,1209,449,0,206,156,30,30,156
336,1191,451,0,205,157,31,31,157
338,1119,438,0,211,157,27,29,157
340,1120,438,0,211,152,26,26,152
342,1105,442,0,207,155,29,29,155
344,1093,444,0,208,151,29,28,151
404,967,387,0,203,176,37,36,176
406,986,442,0,212,172,31,29,172
408,989,439,0,216,170,28,26,170
410,1015,417,0,203,172,35,35,172
412,1035,417,179,206,173,36,33,173
414,1033,429,179,223,168,24,21,168
416,1096,383,0,203,170,37,35,170
418,1116,383,0,210,170,31,30,170
419,1119,380,0,211,173,32,30,173
439,1343,355,0,208,175,32,33,175
441,1329,370,0,212,168,29,28,168
443,1314,380,0,220,167,25,23,167
445,1294,393,179,218,172,28,25,172
447,1283,406,179,218,178,30,26,178
449,1273,424,0,207,186,36,35,186
451,1262,449,0,209,184,34,33,184
453,1274,452,0,204,175,36,35,175
455,1266,468,0,210,159,29,28,159
477,1352,546,179,216,170,30,26,170
479,1380,543,179,216,170,30,26,170
481,1385,552,0,214,172,30,28,172
482,1393,553,0,212,173,31,29,173
483,1399,555,0,217,169,27,25,169
485,1398,560,179,211,174,34,30,174
486,1396,566,179,212,172,33,29,172
487,1407,573,179,217,173,33,26,173
488,1432,570,179,215,170,31,27,170
505,1638,353,0,206,178,36,34,178
507,1624,356,0,206,177,36,34,177
509,1599,364,179,204,180,40,36,180
511,1582,369,179,204,180,40,36,180
513,1580,370,179,202,186,42,39,186
515,1569,371,0,203,190,40,39,190
517,1559,361,0,196,186,45,43,186
519,1512,333,33,154,96,38,96,91
569,1058,302,0,201,174,39,37,174
571,1045,311,0,199,173,40,38,173
573,1043,315,0,201,171,38,36,171
575,1038,328,0,196,172,41,40,172
577,1030,343,0,192,175,44,43,175
579,1019,383,0,197,171,40,39,171
581,1015,394,2,194,150,36,42,150
583,990,403,0,189,143,37,38,143
585,950,461,0,185,168,47,46,168
612,895,597,0,195,153,36,36,153
614,894,600,179,177,169,54,52,169
616,894,601,0,200,152,33,33,152
618,880,631,0,181,155,45,45,155
620,880,631,0,193,157,38,38,157
622,880,631,179,194,160,43,38,160
624,881,629,0,194,160,39,38,160
626,882,619,179,191,159,42,40,159
628,883,612,179,192,158,41,39,158
630,886,607,179,191,156,41,39,156
632,885,599,0,195,149,36,35,149
634,884,591,179,192,155,40,38,155
636,876,588,0,158,181,70,69,181
638,862,589,179,180,166,51,49,166
640,891,586,179,201,155,38,33,155
642,896,592,0,206,141,28,27,141
644,844,595,178,194,158,48,38,158
646,873,615,179,176,162,53,50,162
648,886,627,179,191,163,44,41,163
650,899,637,179,213,146,27,24,146
652,888,641,179,196,155,38,36,155
654,867,641,179,176,170,55,53,170
656,866,640,0,184,165,46,46,165
658,867,616,179,145,197,88,85,197
660,882,595,179,173,172,59,55,172
662,903,591,0,173,168,55,54,168
