frame,x,y,H,S,V,B,G,R
1451,788,299,178,197,190,52,43,190
1452,788,299,178,200,190,52,41,190
1453,788,299,178,200,190,50,41,190
1454,788,299,178,199,188,50,41,188
1455,788,299,178,201,193,53,41,193
1456,788,299,178,203,191,51,39,191
1457,801,292,179,202,188,46,39,188
1458,826,280,179,218,172,30,25,172
1459,856,270,0,236,146,13,11,146
1460,878,259,0,236,146,11,11,146
1461,902,246,0,234,144,13,12,144
1462,934,230,0,229,148,15,16,148
1463,965,219,0,233,162,14,16,162
1464,999,212,1,229,155,16,19,155
1465,1073,208,0,224,140,17,18,140
1466,1157,208,0,223,142,18,19,142
1467,1199,215,1,221,137,18,20,137
1468,1256,224,0,215,133,22,21,133
1469,1294,229,0,207,155,31,29,155
1470,1314,230,0,205,157,33,31,157
1471,1389,240,0,224,123,15,15,123
1472,1492,254,0,238,90,6,7,90
1473,1504,256,179,227,99,14,11,99
1474,1478,269,1,233,114,10,14,114
1475,1426,271,0,227,138,15,16,138
1476,1377,263,1,227,117,13,15,117
1477,1278,242,0,220,103,14,14,103
1478,1234,236,1,228,102,11,14,102
1479,1183,224,1,234,98,8,11,98
1480,1129,216,1,237,97,7,10,97
1481,1087,210,0,239,95,6,6,95
1482,990,196,0,228,133,14,14,133
1483,919,185,1,226,105,12,14,105
1484,903,183,1,222,107,14,16,107
1485,876,186,0,219,107,16,15,107
1486,836,200,179,209,123,25,22,123
1487,792,220,178,210,129,30,23,129
1488,758,242,178,202,134,35,28,134
1489,728,268,177,190,130,44,33,130
1490,712,292,179,220,96,17,13,96
1491,704,305,179,213,102,21,17,102
1492,704,318,179,210,103,22,18,103
1493,719,329,179,210,103,22,18,103
1494,815,336,1,228,102,11,14,102
1495,933,299,1,244,97,4,6,97
1496,1021,261,0,236,95,7,7,95
1497,1129,236,1,241,93,5,9,93
1498,1186,224,0,231,95,9,10,95
1499,1225,220,1,236,95,7,11,95
1500,1268,224,0,219,119,17,17,119
1501,1307,229,1,219,121,17,19,121
1502,1337,239,0,221,114,15,16,114
1503,1363,265,1,232,99,9,12,99
1504,1376,293,0,222,92,13,12,92
1505,1420,332,179,226,96,13,11,96
1506,1449,351,0,227,99,11,11,99
1507,1465,366,1,220,110,15,17,110
1508,1480,395,1,232,113,10,15,113
1509,1483,426,1,234,108,9,12,108
1510,1478,450,1,235,103,8,12,103
1511,1460,473,1,235,101,8,10,101
1512,1430,488,1,242,98,5,7,98
1513,1358,516,1,255,82,0,2,82
1514,1323,532,0,249,82,3,2,82
1515,1280,548,0,246,87,3,4,87
1516,1254,556,0,236,96,7,7,96
1517,1194,560,0,244,96,5,4,96
1518,1149,560,0,241,93,5,5,93
1519,1105,556,0,244,92,4,4,92
1520,1092,555,0,241,93,5,5,93
1521,1049,545,0,241,93,5,5,93
1522,1011,528,0,241,91,5,6,91
1523,948,490,0,238,92,6,7,92
1524,924,444,0,238,90,6,7,90
1525,915,391,176,191,103,35,26,103
1526,947,366,0,231,84,8,8,84
1527,1011,365,0,220,88,12,12,88
1528,1078,395,0,219,107,16,15,107
1529,1110,421,179,236,92,9,7,92
1530,1124,459,179,241,88,7,5,88
1531,1122,494,179,216,104,19,16,104
1532,1102,555,0,236,95,7,7,95
1533,1092,581,0,231,97,9,9,97
1534,1064,604,0,229,98,10,10,98
1535,1025,613,0,228,96,10,11,96
1536,986,615,179,228,95,12,10,95
1537,958,616,179,226,96,13,11,96
1538,912,615,0,228,96,10,11,96
1539,879,609,0,228,96,10,11,96
1540,836,581,0,228,94,10,11,94
1541,809,571,179,228,93,12,10,93
1542,771,561,179,225,94,13,11,94
1543,736,552,0,224,91,12,11,91
1544,702,543,0,223,89,12,11,89
1545,692,542,0,224,91,12,11,91
1546,683,540,0,224,91,12,11,91
1547,664,529,0,224,91,12,11,91
1548,659,522,1,230,91,9,11,91
1549,659,517,0,232,88,9,8,88
1550,663,508,0,229,87,10,9,87
1551,671,506,0,229,89,10,9,89
1552,693,506,1,235,89,7,9,89
1553,720,512,0,229,89,10,9,89
1554,743,516,1,235,89,7,9,89
1555,772,526,0,229,89,10,9,89
1556,795,533,0,211,104,18,19,104
1557,806,541,0,212,94,17,16,94
1558,811,552,1,221,91,12,15,91
1559,811,560,0,193,95,23,24,95
1560,805,575,0,203,93,19,19,93
1561,797,584,0,212,94,17,16,94
1562,783,597,0,207,96,19,18,96
1563,753,609,0,215,95,16,15,95
1564,692,615,0,214,100,16,17,100
1565,681,616,179,210,101,20,18,101
1566,649,618,179,208,104,21,19,104
1567,588,618,1,220,108,15,17,108
1568,554,616,1,220,110,15,17,110
1569,505,619,0,219,113,16,17,113
1570,450,619,1,222,116,15,18,116
1571,415,623,0,220,116,16,16,116
1572,402,626,0,220,115,16,17,115
1573,353,640,0,216,117,18,19,117
1574,325,650,0,219,113,16,17,113
1575,314,662,1,214,113,18,20,113
1576,289,680,0,221,112,15,16,112
1577,267,698,0,210,114,21,20,114
1578,250,725,1,212,114,19,21,114
1579,249,753,0,204,115,24,23,115
1580,259,793,1,204,116,23,25,116
1581,269,801,0,201,119,26,25,119
1582,276,803,0,201,119,26,25,119
1583,296,789,1,204,119,24,26,119
1584,324,777,1,205,118,23,25,118
1585,346,762,0,203,118,25,24,118
